,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Mar Del Plata,AR,81.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
114,Arraial Do Cabo,BR,73.22,light rain,-22.9661,-42.0278,Pousada Porto Praia
115,Hilo,US,74.93,haze,19.7297,-155.09,Hilo Hawaiian Hotel
116,Port Elizabeth,ZA,73.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
121,Qui Nhon,VN,76.62,few clouds,13.7667,109.2333,Hoang Yen Canary Hotel
122,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
125,Ruy Barbosa,BR,67.95,overcast clouds,-12.2839,-40.4939,Flats em Ruy Barbosa - BA
126,Sao Filipe,CV,72.16,overcast clouds,14.8961,-24.4956,Hotel Xaguate
128,Cidreira,BR,71.83,clear sky,-30.1811,-50.2056,Hotel Castelo
129,Bambous Virieux,MU,81.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
131,Port Alfred,ZA,70.68,overcast clouds,-33.5906,26.891,The Halyards Hotel
132,Poum,NC,81.36,clear sky,-20.2333,164.0167,Gîte kajeon
133,Balabac,PH,82.9,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
140,Itarema,BR,77.61,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
143,Shakawe,BW,68.0,light rain,-18.3667,21.85,Ditlhapi Guest House
144,Bredasdorp,ZA,66.27,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
157,Guerrero Negro,MX,66.58,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
162,Cancun,MX,68.05,few clouds,21.1743,-86.8466,Hotel Tankah Cancun
163,Ahipara,NZ,73.18,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
164,Bengkulu,ID,75.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
167,Kruisfontein,ZA,70.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
171,Porbandar,IN,67.46,clear sky,21.6422,69.6093,Lords Inn Porbandar
172,Baturaja,ID,83.08,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
179,East London,ZA,72.54,few clouds,-33.0153,27.9116,Tu Casa
182,Taltal,CL,67.48,clear sky,-25.4,-70.4833,Residencial Karime
183,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
184,Tabou,CI,77.83,overcast clouds,4.423,-7.3528,hotêl doufoulougou
185,Llano De Piedra,PA,73.9,broken clouds,7.6667,-80.5667,
186,Xai-Xai,MZ,78.31,scattered clouds,-25.0519,33.6442,Complexo da Familia
189,Bentiu,SS,80.96,overcast clouds,9.2333,29.8333,Mandela hôtel
191,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
192,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
193,Prieska,ZA,72.88,broken clouds,-29.6641,22.7474,Avenue GuestHouse
200,Payo,ID,76.06,overcast clouds,-3.7508,103.6372,Mess keban agung
201,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
202,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
205,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Lindsey Hôtel
208,Hithadhoo,MV,82.62,broken clouds,-0.6,73.0833,Scoop Guest House
209,Phan Thiet,VN,84.33,few clouds,10.9333,108.1,Hotel Saigon-PT
225,Sola,VU,82.56,overcast clouds,-13.8833,167.55,Leumerus Bungalows
226,Panaba,MX,69.55,clear sky,21.2833,-88.2667,Hotel California
227,Mahebourg,MU,81.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
231,Nanakuli,US,75.45,light rain,21.3906,-158.1547,Camp Pālehua
233,Bull Savanna,JM,71.19,few clouds,17.8868,-77.5902,Big Red's
240,Flinders,AU,79.21,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
242,San Felipe,VE,69.62,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
243,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
247,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
252,Sao Joao Da Barra,BR,73.96,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
254,Faanui,PF,79.43,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
255,Alyangula,AU,76.87,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
256,Pagudpud,PH,75.51,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
261,Inyonga,TZ,66.07,light rain,-6.7167,32.0667,Eden Rock Lodge
263,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
266,Souillac,MU,81.36,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
273,Ahuimanu,US,75.2,broken clouds,21.4447,-157.8378,Paradise Bay Resort
275,Batemans Bay,AU,72.1,moderate rain,-35.7167,150.1833,Batemans Bay Marina Resort
277,Kampene,CD,75.47,overcast clouds,-3.6,26.6667,
282,Jacareacanga,BR,70.43,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
289,Cabo San Lucas,MX,69.94,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
294,Balarampur,IN,68.41,overcast clouds,23.1167,86.2167,Ashok general store
295,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
297,Cape Coast,GH,78.42,broken clouds,5.1053,-1.2466,Samrit Hotel
299,Airai,TL,75.34,scattered clouds,-8.9266,125.4092,
300,Arawa,PG,83.91,light rain,-6.2132,155.5367,Coastline Guest House
301,Moindou,NC,82.35,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
306,Ongandjera,,69.71,broken clouds,-17.8833,15.0667,Ongozi Guest Lodge
312,Plettenberg Bay,ZA,71.06,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
313,Grand Gaube,MU,81.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
317,Cap Malheureux,MU,81.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
320,Tocopilla,CL,69.73,broken clouds,-22.092,-70.1979,Hotel Galvarino
322,Yarada,IN,82.72,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
325,Yavaros,MX,65.44,overcast clouds,26.7,-109.5167,
333,Ladario,BR,71.73,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
334,Hanmer Springs,NZ,73.4,broken clouds,-42.5167,172.8167,The Chalets Motel
335,San Policarpo,PH,81.36,scattered clouds,12.1791,125.5072,Agapita M. Nicart
339,Cayenne,GF,75.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
348,Sweetwater,US,72.0,few clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
349,Kavieng,PG,84.02,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
351,Uige,AO,67.77,overcast clouds,-7.6087,15.0613,Hotel Catraio
357,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
359,Port Shepstone,ZA,77.2,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
361,Ulladulla,AU,77.9,light rain,-35.35,150.4667,Sandpiper Motel
