,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Correntina,BR,-13.3433,-44.6367,67.46,95,100,2.15,light rain
276,Richards Bay,ZA,-28.783,32.0377,70.99,88,30,6.69,scattered clouds
277,Aras,ES,42.5617,-2.356,33.31,93,0,2.3,clear sky
278,Cortez,US,37.3489,-108.5859,36.7,74,0,8.05,clear sky
279,Chernyshevskiy,RU,63.0128,112.4714,-20.07,99,99,1.88,overcast clouds
280,Karacakoy,TR,41.4029,28.3834,36.3,64,100,23.91,overcast clouds
281,Tacuarembo,UY,-31.7333,-55.9833,75.49,72,0,12.39,clear sky
282,San Patricio,US,28.017,-97.5169,60.89,80,48,4.81,scattered clouds
283,Galesburg,US,40.9478,-90.3712,35.31,89,0,4.61,clear sky
284,Izhma,RU,65.0083,53.9113,11.95,73,100,15.1,overcast clouds
285,Juneau,US,58.3019,-134.4197,38.84,97,75,6.91,broken clouds
286,Burns Lake,CA,54.2331,-125.7533,31.42,99,100,2.15,light snow
287,Ushtobe,KZ,45.2514,77.9838,33.12,54,100,3.87,overcast clouds
288,Beloha,MG,-25.1667,45.05,76.3,89,100,5.82,overcast clouds
289,Auki,SB,-8.7676,160.7034,80.78,86,100,9.13,overcast clouds
290,Geraldton,AU,-28.7667,114.6,79.21,57,0,17.27,clear sky
291,Acapulco,MX,16.8634,-99.8901,78.62,83,0,3.44,clear sky
292,Forest,US,37.3638,-79.2897,38.19,70,0,5.75,clear sky
293,Kapuskasing,CA,49.4169,-82.4331,-20.11,76,0,0.0,clear sky
294,Chhindwara,IN,22.0667,78.9333,56.39,66,1,6.71,clear sky
295,Kavaratti,IN,10.5669,72.642,78.51,68,98,10.65,overcast clouds
296,Lazaro Cardenas,MX,17.9583,-102.2,75.67,73,13,2.51,few clouds
297,Pueblo Nuevo,MX,23.3833,-105.3833,53.1,61,78,6.55,broken clouds
298,Puerto Escondido,MX,15.85,-97.0667,79.63,69,20,0.0,few clouds
299,San-Pedro,CI,4.7485,-6.6363,79.05,86,10,7.43,light rain
300,Jesenice,SI,46.4306,14.0669,27.52,80,3,1.61,clear sky
301,Kloulklubed,PW,7.0419,134.2556,84.7,73,69,17.6,broken clouds
302,Cherskiy,RU,68.75,161.3,-28.55,99,15,2.53,few clouds
303,Sakaide,JP,34.3167,133.85,43.54,56,75,25.32,broken clouds
304,San Cristobal,VE,7.7669,-72.225,66.38,93,54,2.15,broken clouds
305,Roald,NO,62.5833,6.1333,48.99,93,100,42.57,drizzle
306,Yatou,CN,37.15,122.3833,29.61,45,79,20.27,broken clouds
307,Shingu,JP,33.7333,135.9833,45.91,52,6,18.19,clear sky
308,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,63,75,4.47,broken clouds
309,Porto Novo,BJ,6.4965,2.6036,84.02,85,84,6.33,light rain
310,Neiafu,TO,-18.65,-173.9833,84.88,79,75,11.5,broken clouds
311,Norman Wells,CA,65.282,-126.8329,-9.36,64,75,0.0,broken clouds
312,Yarim,YE,14.298,44.3779,48.78,41,23,4.23,few clouds
313,Lerwick,GB,60.1545,-1.1494,48.25,85,100,35.16,overcast clouds
314,Kilembe,UG,0.2,30.0,63.95,56,100,4.36,overcast clouds
315,Tecoanapa,MX,16.5167,-98.75,78.21,70,0,4.14,clear sky
316,Boudry,CH,46.9499,6.8376,29.5,86,5,0.0,clear sky
317,Vila Velha,BR,-20.3297,-40.2925,77.95,73,0,5.99,clear sky
318,Baherden,TM,38.4362,57.4316,46.67,61,100,5.7,overcast clouds
319,Portland,US,45.5234,-122.6762,53.38,81,0,1.01,clear sky
320,Trairi,BR,-3.2778,-39.2689,76.41,82,94,3.22,overcast clouds
321,Nagato,JP,34.3833,131.2,42.21,70,100,21.23,overcast clouds
322,Haizhou,CN,34.5817,119.1289,34.05,31,0,10.51,clear sky
323,Zyryanka,RU,65.75,150.85,-28.97,98,100,3.13,overcast clouds
324,Manono,CD,-7.3,27.4167,69.37,97,100,1.43,overcast clouds
325,Maniitsoq,GL,65.4167,-52.9,10.2,88,100,10.04,light snow
326,Sistranda,NO,63.7256,8.834,46.36,92,100,39.95,light rain
327,Florianopolis,BR,-27.6146,-48.5012,70.83,83,75,1.14,broken clouds
328,Bilibino,RU,68.0546,166.4372,-12.1,81,81,3.96,broken clouds
329,Fort-Shevchenko,KZ,44.5086,50.263,35.89,81,80,14.79,broken clouds
330,Luderitz,NA,-26.6481,15.1594,63.97,94,5,8.32,clear sky
331,Souillac,MU,-20.5167,57.5167,82.36,94,75,2.3,light intensity shower rain
332,Necochea,AR,-38.5473,-58.7368,81.03,35,0,18.3,clear sky
333,Kawalu,ID,-7.3817,108.2082,78.37,79,99,1.25,overcast clouds
334,Balkanabat,TM,39.5108,54.3671,48.81,58,100,6.38,overcast clouds
335,Namibe,AO,-15.1961,12.1522,67.98,72,100,3.06,overcast clouds
336,Parrita,CR,9.5201,-84.3225,80.37,80,14,3.27,few clouds
337,Bilma,NE,18.6853,12.9164,61.54,10,0,8.41,clear sky
338,Linhares,BR,-19.3911,-40.0722,70.7,97,1,3.83,clear sky
339,Nanortalik,GL,60.1432,-45.2371,15.69,80,85,7.11,overcast clouds
340,Camana,PE,-16.6228,-72.7111,72.64,81,100,5.12,overcast clouds
341,Paramonga,PE,-10.6667,-77.8333,71.11,82,98,7.56,overcast clouds
342,Shieli,KZ,44.1667,66.75,32.95,94,37,12.77,scattered clouds
343,Ambilobe,MG,-13.2,49.05,75.31,94,100,1.52,overcast clouds
344,Dunedin,NZ,-45.8742,170.5036,60.33,63,11,13.18,few clouds
345,Victoria Point,AU,-27.5833,153.3,86.14,56,21,5.99,few clouds
